sport,league,event_ticker,market_ticker,game_id,home_team,away_team,commence_time,selection,yes_bid,yes_ask,implied_prob_mid,spread,yes_bid_size,yes_ask_size,volume,volume_24h,open_interest,status,source,fetched_at
soccer,EPL,KXEPLGAME-26SEP14LEENEW,KXEPLGAME-26SEP14LEENEW-LEE,,Leeds,Newcastle,2026-09-14T22:00:00Z,home,0.39,0.4,0.395,0.01,1070.9,4356.21,641.34,32.9,593.62,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP18BRECFC,KXEPLGAME-26SEP18BRECFC-CFC,,Brentford,Chelsea,2026-09-18T22:00:00Z,away,0.4,0.41,0.405,0.01,38.32,15475.52,7230.39,1915.44,7027.19,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP18BRECFC,KXEPLGAME-26SEP18BRECFC-TIE,,Brentford,Chelsea,2026-09-18T22:00:00Z,draw,0.24,0.26,0.25,0.02,6163.24,15994.35,480.4,178.0,463.4,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP18BRECFC,KXEPLGAME-26SEP18BRECFC-BRE,,Brentford,Chelsea,2026-09-18T22:00:00Z,home,0.34,0.36,0.35,0.02,200.0,16069.31,99.1,26.0,99.1,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP19BRIARS,KXEPLGAME-26SEP19BRIARS-ARS,,Brighton,Arsenal,2026-09-19T17:00:00Z,away,0.57,0.58,0.575,0.01,13.48,17377.91,27889.62,5201.74,24646.12,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP19BRIARS,KXEPLGAME-26SEP19BRIARS-TIE,,Brighton,Arsenal,2026-09-19T17:00:00Z,draw,0.22,0.24,0.2299999999999999,0.02,8912.33,15915.0,333.22,200.0,225.62,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP19BRIARS,KXEPLGAME-26SEP19BRIARS-BRI,,Brighton,Arsenal,2026-09-19T17:00:00Z,home,0.2,0.22,0.21,0.02,12821.66,15882.0,1060.09,76.0,1017.13,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP19EVEIPS,KXEPLGAME-26SEP19EVEIPS-IPS,,Everton,Ipswich,2026-09-19T17:00:00Z,away,0.21,0.22,0.215,0.01,2079.0,4339.26,69.73,0.0,69.73,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP19EVEIPS,KXEPLGAME-26SEP19EVEIPS-TIE,,Everton,Ipswich,2026-09-19T17:00:00Z,draw,0.24,0.26,0.25,0.02,2414.0,6373.28,152.01,0.0,152.01,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP19EVEIPS,KXEPLGAME-26SEP19EVEIPS-EVE,,Everton,Ipswich,2026-09-19T17:00:00Z,home,0.52,0.54,0.53,0.02,2504.25,4358.0,150.88,0.0,89.03,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP19NEWHUL,KXEPLGAME-26SEP19NEWHUL-HUL,,Newcastle,Hull,2026-09-19T17:00:00Z,away,0.14,0.15,0.145,0.01,200.0,5479.76,529.99,246.76,435.61,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP19NEWHUL,KXEPLGAME-26SEP19NEWHUL-TIE,,Newcastle,Hull,2026-09-19T17:00:00Z,draw,0.19,0.21,0.2,0.02,2483.8,6419.77,297.29,0.0,297.29,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP19NEWHUL,KXEPLGAME-26SEP19NEWHUL-NEW,,Newcastle,Hull,2026-09-19T17:00:00Z,home,0.65,0.66,0.655,0.01,2064.0,200.0,237.57,0.0,237.57,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP19NFOCOV,KXEPLGAME-26SEP19NFOCOV-COV,,Nott'm Forest,Coventry,2026-09-19T19:30:00Z,away,0.2,0.22,0.21,0.02,2727.83,7579.34,40.0,20.0,40.0,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP19NFOCOV,KXEPLGAME-26SEP19NFOCOV-TIE,,Nott'm Forest,Coventry,2026-09-19T19:30:00Z,draw,0.24,0.25,0.245,0.01,2412.84,7468.54,129.0,129.0,129.0,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP19NFOCOV,KXEPLGAME-26SEP19NFOCOV-NFO,,Nott'm Forest,Coventry,2026-09-19T19:30:00Z,home,0.53,0.54,0.535,0.01,2203.61,830.0,289.65,33.28,255.65,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP19TOTAVL,KXEPLGAME-26SEP19TOTAVL-AVL,,Tottenham,Aston Villa,2026-09-19T14:30:00Z,away,0.25,0.28,0.265,0.03,10330.07,8856.02,12022.76,9941.44,11988.76,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP19TOTAVL,KXEPLGAME-26SEP19TOTAVL-TIE,,Tottenham,Aston Villa,2026-09-19T14:30:00Z,draw,0.25,0.26,0.255,0.01,317.9,14755.0,156.75,0.0,156.75,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP19TOTAVL,KXEPLGAME-26SEP19TOTAVL-TOT,,Tottenham,Aston Villa,2026-09-19T14:30:00Z,home,0.46,0.48,0.47,0.02,3602.4,1958.0,154.11,31.11,154.11,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP20BOULFC,KXEPLGAME-26SEP20BOULFC-LFC,,Bournemouth,Liverpool,2026-09-20T16:00:00Z,away,0.45,0.47,0.4599999999999999,0.02,2138.12,200.0,3688.61,1138.0,3688.61,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP20BOULFC,KXEPLGAME-26SEP20BOULFC-TIE,,Bournemouth,Liverpool,2026-09-20T16:00:00Z,draw,0.23,0.25,0.24,0.02,510.22,3785.0,76.0,37.0,75.0,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP20BOULFC,KXEPLGAME-26SEP20BOULFC-BOU,,Bournemouth,Liverpool,2026-09-20T16:00:00Z,home,0.28,0.3,0.29,0.02,966.0,1274.88,371.02,301.0,369.02,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP20FULMUN,KXEPLGAME-26SEP20FULMUN-MUN,,Fulham,Man United,2026-09-20T18:30:00Z,away,0.47,0.48,0.475,0.01,241.55,1184.34,3243.59,1453.82,3243.59,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP20FULMUN,KXEPLGAME-26SEP20FULMUN-TIE,,Fulham,Man United,2026-09-20T18:30:00Z,draw,0.24,0.26,0.25,0.02,140.0,2023.82,0.0,0.0,0.0,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP20FULMUN,KXEPLGAME-26SEP20FULMUN-FUL,,Fulham,Man United,2026-09-20T18:30:00Z,home,0.26,0.28,0.27,0.02,782.66,1816.82,44.0,44.0,34.0,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP20LEECRY,KXEPLGAME-26SEP20LEECRY-CRY,,Leeds,Crystal Palace,2026-09-20T16:00:00Z,away,0.26,0.28,0.27,0.02,90.0,588.0,35.29,0.0,35.29,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP20LEECRY,KXEPLGAME-26SEP20LEECRY-TIE,,Leeds,Crystal Palace,2026-09-20T16:00:00Z,draw,0.26,0.27,0.265,0.01,200.0,802.01,22.02,0.0,11.01,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP20LEECRY,KXEPLGAME-26SEP20LEECRY-LEE,,Leeds,Crystal Palace,2026-09-20T16:00:00Z,home,0.45,0.48,0.4649999999999999,0.03,362.0,2100.0,256.01,4.0,256.01,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP20MCISUN,KXEPLGAME-26SEP20MCISUN-SUN,,Man City,Sunderland,2026-09-20T16:00:00Z,away,0.06,0.08,0.07,0.02,1721.55,2389.0,418.1,180.0,416.0,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP20MCISUN,KXEPLGAME-26SEP20MCISUN-TIE,,Man City,Sunderland,2026-09-20T16:00:00Z,draw,0.14,0.15,0.145,0.01,655.07,2327.0,661.63,661.63,661.63,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP20MCISUN,KXEPLGAME-26SEP20MCISUN-MCI,,Man City,Sunderland,2026-09-20T16:00:00Z,home,0.77,0.78,0.775,0.01,4.0,4002.0,2940.2,185.84,2910.63,active,kalshi,2026-09-10T14:55:52.965181+00:00
soccer,EPL,KXEPLGAME-26SEP12AVLNFO,KXEPLGAME-26SEP12AVLNFO-NFO,,Aston Villa,Nott'm Forest,2026-09-12T17:00:00Z,away,0.29,0.3,0.295,0.01,9329.7,4967.12,4160.61,1511.96,3901.26,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP12AVLNFO,KXEPLGAME-26SEP12AVLNFO-TIE,,Aston Villa,Nott'm Forest,2026-09-12T17:00:00Z,draw,0.27,0.28,0.275,0.01,21347.78,4862.0,1587.48,308.5,1335.9,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP12AVLNFO,KXEPLGAME-26SEP12AVLNFO-AVL,,Aston Villa,Nott'm Forest,2026-09-12T17:00:00Z,home,0.42,0.43,0.425,0.01,3910.0,8853.95,8685.86,3914.73,7160.38,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP12BOUBRE,KXEPLGAME-26SEP12BOUBRE-BRE,,Bournemouth,Brentford,2026-09-12T17:00:00Z,away,0.34,0.36,0.35,0.02,10519.26,23528.55,5974.5,944.57,5074.15,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP12BOUBRE,KXEPLGAME-26SEP12BOUBRE-TIE,,Bournemouth,Brentford,2026-09-12T17:00:00Z,draw,0.26,0.27,0.265,0.01,1439.33,23592.99,8253.85,925.79,5980.01,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP12BOUBRE,KXEPLGAME-26SEP12BOUBRE-BOU,,Bournemouth,Brentford,2026-09-12T17:00:00Z,home,0.38,0.39,0.385,0.01,11873.23,5661.0,9769.74,1450.41,4287.84,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP12CFCHUL,KXEPLGAME-26SEP12CFCHUL-HUL,,Chelsea,Hull,2026-09-12T17:00:00Z,away,0.07,0.08,0.07500000000000001,0.01,1343.0,25910.32,99258.62,12777.09,86762.57,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP12CFCHUL,KXEPLGAME-26SEP12CFCHUL-TIE,,Chelsea,Hull,2026-09-12T17:00:00Z,draw,0.14,0.15,0.14500000000000002,0.01,5695.23,25638.47,17827.11,7336.1,17168.6,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP12CFCHUL,KXEPLGAME-26SEP12CFCHUL-CFC,,Chelsea,Hull,2026-09-12T17:00:00Z,home,0.79,0.8,0.795,0.01,50.0,54244.27,31832.12,7255.22,25879.5,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP12CRYIPS,KXEPLGAME-26SEP12CRYIPS-IPS,,Crystal Palace,Ipswich,2026-09-12T17:00:00Z,away,0.23,0.24,0.235,0.01,3768.85,4013.0,3691.52,312.32,3519.07,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP12CRYIPS,KXEPLGAME-26SEP12CRYIPS-TIE,,Crystal Palace,Ipswich,2026-09-12T17:00:00Z,draw,0.25,0.26,0.255,0.01,1380.75,23295.01,1076.49,157.4,1073.24,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP12CRYIPS,KXEPLGAME-26SEP12CRYIPS-CRY,,Crystal Palace,Ipswich,2026-09-12T17:00:00Z,home,0.51,0.52,0.515,0.01,9384.15,8898.93,4311.8,596.79,3665.43,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP12LFCFUL,KXEPLGAME-26SEP12LFCFUL-FUL,,Liverpool,Fulham,2026-09-12T17:00:00Z,away,0.13,0.14,0.135,0.01,711.0,42897.78,14066.03,8542.35,12875.19,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP12LFCFUL,KXEPLGAME-26SEP12LFCFUL-TIE,,Liverpool,Fulham,2026-09-12T17:00:00Z,draw,0.19,0.2,0.195,0.01,1523.0,28584.26,9945.91,463.16,9780.41,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP12LFCFUL,KXEPLGAME-26SEP12LFCFUL-LFC,,Liverpool,Fulham,2026-09-12T17:00:00Z,home,0.68,0.69,0.685,0.01,778.94,30635.76,86057.88,40480.11,68533.19,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP12SUNARS,KXEPLGAME-26SEP12SUNARS-ARS,,Sunderland,Arsenal,2026-09-12T22:00:00Z,away,0.66,0.67,0.665,0.01,2186.11,5585.34,118788.12,40895.95,111948.65,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP12SUNARS,KXEPLGAME-26SEP12SUNARS-TIE,,Sunderland,Arsenal,2026-09-12T22:00:00Z,draw,0.21,0.22,0.215,0.01,1230.08,36057.47,727.41,206.25,717.0,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP12SUNARS,KXEPLGAME-26SEP12SUNARS-SUN,,Sunderland,Arsenal,2026-09-12T22:00:00Z,home,0.12,0.13,0.125,0.01,196.17,13279.4,9323.43,2752.44,8327.95,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP12TOTEVE,KXEPLGAME-26SEP12TOTEVE-EVE,,Tottenham,Everton,2026-09-12T19:30:00Z,away,0.26,0.27,0.265,0.01,20359.2,460.29,20726.89,4851.97,16787.33,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP12TOTEVE,KXEPLGAME-26SEP12TOTEVE-TIE,,Tottenham,Everton,2026-09-12T19:30:00Z,draw,0.26,0.27,0.265,0.01,1247.39,31328.51,5462.91,779.99,2416.62,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP12TOTEVE,KXEPLGAME-26SEP12TOTEVE-TOT,,Tottenham,Everton,2026-09-12T19:30:00Z,home,0.46,0.47,0.46499999999999997,0.01,12667.85,4016.92,5694.9,1015.12,4594.03,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP13COVBRI,KXEPLGAME-26SEP13COVBRI-BRI,,Coventry,Brighton,2026-09-13T16:00:00Z,away,0.51,0.52,0.515,0.01,3885.3,7361.41,3597.29,885.65,3221.47,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP13COVBRI,KXEPLGAME-26SEP13COVBRI-TIE,,Coventry,Brighton,2026-09-13T16:00:00Z,draw,0.25,0.26,0.255,0.01,494.25,20274.99,268.09,60.54,243.34,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP13COVBRI,KXEPLGAME-26SEP13COVBRI-COV,,Coventry,Brighton,2026-09-13T16:00:00Z,home,0.23,0.24,0.235,0.01,6244.3,14182.81,2335.24,77.31,2162.28,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP13MUNMCI,KXEPLGAME-26SEP13MUNMCI-MCI,,Man United,Man City,2026-09-13T18:30:00Z,away,0.45,0.47,0.45999999999999996,0.02,6345.43,19086.01,76756.65,30221.32,67203.31,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP13MUNMCI,KXEPLGAME-26SEP13MUNMCI-TIE,,Man United,Man City,2026-09-13T18:30:00Z,draw,0.24,0.25,0.245,0.01,25600.56,58424.3,3704.27,1075.88,3389.81,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP13MUNMCI,KXEPLGAME-26SEP13MUNMCI-MUN,,Man United,Man City,2026-09-13T18:30:00Z,home,0.29,0.3,0.295,0.01,12572.17,1081.61,20781.15,4963.58,19840.98,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP14LEENEW,KXEPLGAME-26SEP14LEENEW-NEW,,Leeds,Newcastle,2026-09-14T22:00:00Z,away,0.33,0.34,0.335,0.01,25.03,8095.9,14254.7,1555.64,13901.38,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP14LEENEW,KXEPLGAME-26SEP14LEENEW-TIE,,Leeds,Newcastle,2026-09-14T22:00:00Z,draw,0.26,0.28,0.27,0.02,2750.37,14391.91,995.0,326.61,956.81,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP14LEENEW,KXEPLGAME-26SEP14LEENEW-LEE,,Leeds,Newcastle,2026-09-14T22:00:00Z,home,0.39,0.4,0.395,0.01,1070.9,4356.21,641.34,32.9,593.62,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP18BRECFC,KXEPLGAME-26SEP18BRECFC-CFC,,Brentford,Chelsea,2026-09-18T22:00:00Z,away,0.4,0.41,0.405,0.01,38.32,15455.52,7250.39,1915.44,7047.19,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP18BRECFC,KXEPLGAME-26SEP18BRECFC-TIE,,Brentford,Chelsea,2026-09-18T22:00:00Z,draw,0.24,0.26,0.25,0.02,6163.24,15994.35,480.4,178.0,463.4,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP18BRECFC,KXEPLGAME-26SEP18BRECFC-BRE,,Brentford,Chelsea,2026-09-18T22:00:00Z,home,0.34,0.36,0.35,0.02,200.0,16069.31,99.1,26.0,99.1,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP19BRIARS,KXEPLGAME-26SEP19BRIARS-ARS,,Brighton,Arsenal,2026-09-19T17:00:00Z,away,0.57,0.58,0.575,0.01,13.48,17377.91,27889.62,5201.74,24646.12,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP19BRIARS,KXEPLGAME-26SEP19BRIARS-TIE,,Brighton,Arsenal,2026-09-19T17:00:00Z,draw,0.22,0.24,0.22999999999999998,0.02,8912.33,15915.0,333.22,200.0,225.62,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP19BRIARS,KXEPLGAME-26SEP19BRIARS-BRI,,Brighton,Arsenal,2026-09-19T17:00:00Z,home,0.2,0.22,0.21000000000000002,0.02,12821.66,15882.0,1060.09,76.0,1017.13,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP19EVEIPS,KXEPLGAME-26SEP19EVEIPS-IPS,,Everton,Ipswich,2026-09-19T17:00:00Z,away,0.21,0.22,0.215,0.01,2079.0,4339.26,69.73,0.0,69.73,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP19EVEIPS,KXEPLGAME-26SEP19EVEIPS-TIE,,Everton,Ipswich,2026-09-19T17:00:00Z,draw,0.24,0.26,0.25,0.02,2414.0,6373.28,152.01,0.0,152.01,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP19EVEIPS,KXEPLGAME-26SEP19EVEIPS-EVE,,Everton,Ipswich,2026-09-19T17:00:00Z,home,0.52,0.54,0.53,0.02,2504.25,4358.0,150.88,0.0,89.03,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP19NEWHUL,KXEPLGAME-26SEP19NEWHUL-HUL,,Newcastle,Hull,2026-09-19T17:00:00Z,away,0.14,0.15,0.14500000000000002,0.01,200.0,5480.0,529.99,246.76,435.61,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP19NEWHUL,KXEPLGAME-26SEP19NEWHUL-TIE,,Newcastle,Hull,2026-09-19T17:00:00Z,draw,0.19,0.21,0.2,0.02,2483.8,6419.77,297.29,0.0,297.29,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP19NEWHUL,KXEPLGAME-26SEP19NEWHUL-NEW,,Newcastle,Hull,2026-09-19T17:00:00Z,home,0.65,0.66,0.655,0.01,2240.02,4358.0,237.57,0.0,237.57,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP19NFOCOV,KXEPLGAME-26SEP19NFOCOV-COV,,Nott'm Forest,Coventry,2026-09-19T19:30:00Z,away,0.2,0.22,0.21000000000000002,0.02,2727.83,7579.34,40.0,20.0,40.0,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP19NFOCOV,KXEPLGAME-26SEP19NFOCOV-TIE,,Nott'm Forest,Coventry,2026-09-19T19:30:00Z,draw,0.24,0.25,0.245,0.01,2412.84,7468.54,129.0,129.0,129.0,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP19NFOCOV,KXEPLGAME-26SEP19NFOCOV-NFO,,Nott'm Forest,Coventry,2026-09-19T19:30:00Z,home,0.53,0.54,0.535,0.01,2203.61,830.0,289.65,33.28,255.65,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP19TOTAVL,KXEPLGAME-26SEP19TOTAVL-AVL,,Tottenham,Aston Villa,2026-09-19T14:30:00Z,away,0.26,0.28,0.27,0.02,166.81,8890.02,12022.76,9941.44,11988.76,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP19TOTAVL,KXEPLGAME-26SEP19TOTAVL-TIE,,Tottenham,Aston Villa,2026-09-19T14:30:00Z,draw,0.25,0.26,0.255,0.01,317.9,14755.0,156.75,0.0,156.75,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP19TOTAVL,KXEPLGAME-26SEP19TOTAVL-TOT,,Tottenham,Aston Villa,2026-09-19T14:30:00Z,home,0.46,0.48,0.47,0.02,3602.4,1958.0,154.11,31.11,154.11,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP20BOULFC,KXEPLGAME-26SEP20BOULFC-LFC,,Bournemouth,Liverpool,2026-09-20T16:00:00Z,away,0.45,0.46,0.455,0.01,2140.7,4.32,3688.61,1138.0,3688.61,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP20BOULFC,KXEPLGAME-26SEP20BOULFC-TIE,,Bournemouth,Liverpool,2026-09-20T16:00:00Z,draw,0.23,0.25,0.24,0.02,510.22,3785.0,76.0,37.0,75.0,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP20BOULFC,KXEPLGAME-26SEP20BOULFC-BOU,,Bournemouth,Liverpool,2026-09-20T16:00:00Z,home,0.28,0.3,0.29000000000000004,0.02,966.0,1274.88,371.02,301.0,369.02,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP20FULMUN,KXEPLGAME-26SEP20FULMUN-MUN,,Fulham,Man United,2026-09-20T18:30:00Z,away,0.47,0.48,0.475,0.01,239.55,1185.81,3243.59,1453.82,3243.59,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP20FULMUN,KXEPLGAME-26SEP20FULMUN-TIE,,Fulham,Man United,2026-09-20T18:30:00Z,draw,0.24,0.26,0.25,0.02,140.0,2014.82,0.0,0.0,0.0,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP20FULMUN,KXEPLGAME-26SEP20FULMUN-FUL,,Fulham,Man United,2026-09-20T18:30:00Z,home,0.26,0.28,0.27,0.02,942.66,1816.82,44.0,44.0,34.0,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP20LEECRY,KXEPLGAME-26SEP20LEECRY-CRY,,Leeds,Crystal Palace,2026-09-20T16:00:00Z,away,0.26,0.28,0.27,0.02,90.0,588.0,35.29,0.0,35.29,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP20LEECRY,KXEPLGAME-26SEP20LEECRY-TIE,,Leeds,Crystal Palace,2026-09-20T16:00:00Z,draw,0.26,0.27,0.265,0.01,200.0,802.01,22.02,0.0,11.01,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP20LEECRY,KXEPLGAME-26SEP20LEECRY-LEE,,Leeds,Crystal Palace,2026-09-20T16:00:00Z,home,0.45,0.48,0.46499999999999997,0.03,362.0,2100.0,256.01,4.0,256.01,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP20MCISUN,KXEPLGAME-26SEP20MCISUN-SUN,,Man City,Sunderland,2026-09-20T16:00:00Z,away,0.06,0.08,0.07,0.02,1721.55,2389.0,418.1,180.0,416.0,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP20MCISUN,KXEPLGAME-26SEP20MCISUN-TIE,,Man City,Sunderland,2026-09-20T16:00:00Z,draw,0.14,0.15,0.14500000000000002,0.01,655.07,2327.0,661.63,661.63,661.63,active,kalshi,2026-09-10T15:00:52.631856+00:00
soccer,EPL,KXEPLGAME-26SEP20MCISUN,KXEPLGAME-26SEP20MCISUN-MCI,,Man City,Sunderland,2026-09-20T16:00:00Z,home,0.77,0.78,0.775,0.01,4.0,4002.0,2940.2,185.84,2910.63,active,kalshi,2026-09-10T15:00:52.631856+00:00
